imageName,cameraID,POSIXTime,i,j,k,ustxX,ustxZ,x,y,z,azimuth,axial,roiFFTEnergy,rouFFTEnergy,imageMean,referenceBeamIntensity,objectBeamIntensity,ch2Mean,ch3Mean,ch0Std,ch1Std,ch2Std,ch3Std
hologramImage1,213,115732642,0,0,0,0,0,0,0,34,0,18,1.28545e+07,6.80183e+06,438.936,0,0,0,0,0,0,0,0
hologramImage2,213,115733422,1,0,0,0,0,1,0,34,0,18,1.29668e+07,6.8809e+06,446.774,0,0,0,0,0,0,0,0
hologramImage3,213,115734272,2,0,0,0,0,2,0,34,0,18,1.3422e+07,6.95492e+06,449.228,0,0,0,0,0,0,0,0
hologramImage4,213,115735062,3,0,0,0,0,3,0,34,0,18,1.43681e+07,6.90309e+06,439.909,0,0,0,0,0,0,0,0
hologramImage5,213,115735842,4,0,0,0,0,4,0,34,0,18,1.4872e+07,6.92833e+06,440.333,0,0,0,0,0,0,0,0
hologramImage6,213,115736742,5,0,0,0,0,5,0,34,0,18,1.53972e+07,6.82158e+06,436.276,0,0,0,0,0,0,0,0
hologramImage7,213,115737452,6,0,0,0,0,6,0,34,0,18,1.61093e+07,6.95101e+06,442.004,0,0,0,0,0,0,0,0
hologramImage8,213,115738152,7,0,0,0,0,7,0,34,0,18,1.62563e+07,6.8415e+06,439.085,0,0,0,0,0,0,0,0
hologramImage9,213,115738932,8,0,0,0,0,8,0,34,0,18,1.6872e+07,7.07803e+06,447.111,0,0,0,0,0,0,0,0
hologramImage10,213,115739882,9,0,0,0,0,9,0,34,0,18,1.68786e+07,6.95753e+06,440.822,0,0,0,0,0,0,0,0
hologramImage11,213,115740712,10,0,0,0,0,10,0,34,0,18,1.68857e+07,6.93727e+06,449.252,0,0,0,0,0,0,0,0
hologramImage12,213,115741562,11,0,0,0,0,11,0,34,0,18,1.52364e+07,6.76635e+06,439.609,0,0,0,0,0,0,0,0
hologramImage13,213,115742382,12,0,0,0,0,12,0,34,0,18,1.51286e+07,6.88733e+06,439.378,0,0,0,0,0,0,0,0
hologramImage14,213,115743202,13,0,0,0,0,13,0,34,0,18,1.50481e+07,6.83536e+06,436.302,0,0,0,0,0,0,0,0
hologramImage15,213,115744012,14,0,0,0,0,14,0,34,0,18,1.44602e+07,6.77878e+06,439.08,0,0,0,0,0,0,0,0
hologramImage16,213,115744902,15,0,0,0,0,15,0,34,0,18,1.51712e+07,7.12758e+06,447.256,0,0,0,0,0,0,0,0
hologramImage17,213,115745692,16,0,0,0,0,16,0,34,0,18,1.51637e+07,7.05204e+06,445.642,0,0,0,0,0,0,0,0
hologramImage18,213,115746522,17,0,0,0,0,17,0,34,0,18,1.5368e+07,6.89999e+06,436.496,0,0,0,0,0,0,0,0
hologramImage19,213,115747362,18,0,0,0,0,18,0,34,0,18,1.74785e+07,7.20235e+06,458.798,0,0,0,0,0,0,0,0
hologramImage20,213,115748142,19,0,0,0,0,19,0,34,0,18,1.60991e+07,7.21814e+06,453.977,0,0,0,0,0,0,0,0
hologramImage21,213,115748882,20,0,0,0,0,20,0,34,0,18,1.16659e+07,7.3398e+06,461.309,0,0,0,0,0,0,0,0
hologramImage22,213,115749672,21,0,0,0,0,21,0,34,0,18,8.71722e+06,7.06989e+06,446.456,0,0,0,0,0,0,0,0
hologramImage23,213,115750452,22,0,0,0,0,22,0,34,0,18,8.58557e+06,7.13253e+06,460.261,0,0,0,0,0,0,0,0
hologramImage24,213,115751232,23,0,0,0,0,23,0,34,0,18,8.53303e+06,7.31831e+06,464.359,0,0,0,0,0,0,0,0
hologramImage25,213,115752012,24,0,0,0,0,24,0,34,0,18,8.22081e+06,7.15755e+06,451.85,0,0,0,0,0,0,0,0
hologramImage26,213,115752792,25,0,0,0,0,25,0,34,0,18,8.15367e+06,7.11941e+06,456.633,0,0,0,0,0,0,0,0
hologramImage27,213,115753852,26,0,0,0,0,26,0,34,0,18,8.03207e+06,7.0625e+06,447.12,0,0,0,0,0,0,0,0
hologramImage28,213,115754732,27,0,0,0,0,27,0,34,0,18,7.78167e+06,6.68829e+06,434.476,0,0,0,0,0,0,0,0
hologramImage29,213,115755542,28,0,0,0,0,28,0,34,0,18,8.75936e+06,7.11811e+06,455.184,0,0,0,0,0,0,0,0
hologramImage30,213,115756362,29,0,0,0,0,29,0,34,0,18,1.00516e+07,7.41468e+06,464.269,0,0,0,0,0,0,0,0
