imageName,cameraID,POSIXTime,i,j,k,ustxX,ustxZ,x,y,z,azimuth,axial,roiFFTEnergy,rouFFTEnergy,imageMean,referenceBeamIntensity,objectBeamIntensity,ch2Mean,ch3Mean,ch0Std,ch1Std,ch2Std,ch3Std
hologramImage1,213,118416427,0,0,0,0,0,0,0,30,0,18,1.33451e+07,6.95211e+06,442.767,0,0,0,0,0,0,0,0
hologramImage2,213,118417247,1,0,0,0,0,1,0,30,0,18,1.33087e+07,6.88704e+06,438.57,0,0,0,0,0,0,0,0
hologramImage3,213,118418047,2,0,0,0,0,2,0,30,0,18,1.33019e+07,6.79491e+06,435.782,0,0,0,0,0,0,0,0
hologramImage4,213,118418827,3,0,0,0,0,3,0,30,0,18,1.45147e+07,6.95677e+06,440.53,0,0,0,0,0,0,0,0
hologramImage5,213,118419607,4,0,0,0,0,4,0,30,0,18,1.57175e+07,7.04765e+06,452.092,0,0,0,0,0,0,0,0
hologramImage6,213,118420537,5,0,0,0,0,5,0,30,0,18,1.59757e+07,6.84335e+06,439.04,0,0,0,0,0,0,0,0
hologramImage7,213,118421347,6,0,0,0,0,6,0,30,0,18,1.63448e+07,6.64043e+06,433.224,0,0,0,0,0,0,0,0
hologramImage8,213,118422177,7,0,0,0,0,7,0,30,0,18,1.6803e+07,6.80101e+06,432.467,0,0,0,0,0,0,0,0
hologramImage9,213,118422987,8,0,0,0,0,8,0,30,0,18,1.76807e+07,7.0814e+06,447.834,0,0,0,0,0,0,0,0
hologramImage10,213,118423767,9,0,0,0,0,9,0,30,0,18,1.72349e+07,6.96982e+06,444.614,0,0,0,0,0,0,0,0
hologramImage11,213,118424697,10,0,0,0,0,10,0,30,0,18,1.6649e+07,6.84223e+06,443.17,0,0,0,0,0,0,0,0
hologramImage12,213,118425487,11,0,0,0,0,11,0,30,0,18,1.64285e+07,7.00713e+06,451.277,0,0,0,0,0,0,0,0
hologramImage13,213,118426297,12,0,0,0,0,12,0,30,0,18,1.54547e+07,6.90519e+06,446.537,0,0,0,0,0,0,0,0
hologramImage14,213,118427087,13,0,0,0,0,13,0,30,0,18,1.54391e+07,6.97313e+06,448.003,0,0,0,0,0,0,0,0
hologramImage15,213,118427897,14,0,0,0,0,14,0,30,0,18,1.55374e+07,7.20741e+06,457.027,0,0,0,0,0,0,0,0
hologramImage16,213,118428697,15,0,0,0,0,15,0,30,0,18,1.50218e+07,7.01083e+06,445.341,0,0,0,0,0,0,0,0
hologramImage17,213,118429477,16,0,0,0,0,16,0,30,0,18,1.46001e+07,6.69758e+06,434.822,0,0,0,0,0,0,0,0
hologramImage18,213,118430267,17,0,0,0,0,17,0,30,0,18,1.56687e+07,7.02892e+06,445.367,0,0,0,0,0,0,0,0
hologramImage19,213,118431077,18,0,0,0,0,18,0,30,0,18,1.38054e+07,6.8979e+06,444.211,0,0,0,0,0,0,0,0
hologramImage20,213,118431857,19,0,0,0,0,19,0,30,0,18,1.14132e+07,6.8552e+06,436.29,0,0,0,0,0,0,0,0
hologramImage21,213,118432637,20,0,0,0,0,20,0,30,0,18,9.97813e+06,6.92335e+06,438.183,0,0,0,0,0,0,0,0
hologramImage22,213,118433417,21,0,0,0,0,21,0,30,0,18,8.64675e+06,6.69777e+06,433.769,0,0,0,0,0,0,0,0
hologramImage23,213,118434217,22,0,0,0,0,22,0,30,0,18,8.14545e+06,6.77102e+06,439.151,0,0,0,0,0,0,0,0
hologramImage24,213,118435057,23,0,0,0,0,23,0,30,0,18,8.31359e+06,6.9604e+06,439.595,0,0,0,0,0,0,0,0
hologramImage25,213,118435837,24,0,0,0,0,24,0,30,0,18,8.2428e+06,7.03337e+06,445.85,0,0,0,0,0,0,0,0
hologramImage26,213,118436707,25,0,0,0,0,25,0,30,0,18,7.97471e+06,6.86095e+06,442.583,0,0,0,0,0,0,0,0
hologramImage27,213,118437527,26,0,0,0,0,26,0,30,0,18,8.63669e+06,7.18654e+06,450.187,0,0,0,0,0,0,0,0
hologramImage28,213,118438327,27,0,0,0,0,27,0,30,0,18,8.27691e+06,6.82039e+06,434.032,0,0,0,0,0,0,0,0
hologramImage29,213,118439107,28,0,0,0,0,28,0,30,0,18,8.64136e+06,6.86993e+06,444.833,0,0,0,0,0,0,0,0
hologramImage30,213,118439887,29,0,0,0,0,29,0,30,0,18,9.60989e+06,7.01158e+06,443.76,0,0,0,0,0,0,0,0
hologramImage31,213,118440697,30,0,0,0,0,30,0,30,0,18,1.08708e+07,6.98046e+06,447.74,0,0,0,0,0,0,0,0
hologramImage32,213,118441507,31,0,0,0,0,31,0,30,0,18,1.20023e+07,7.12076e+06,447.84,0,0,0,0,0,0,0,0
hologramImage33,213,118442307,32,0,0,0,0,32,0,30,0,18,1.33837e+07,7.08275e+06,447.451,0,0,0,0,0,0,0,0
hologramImage34,213,118443187,33,0,0,0,0,33,0,30,0,18,1.33628e+07,6.68365e+06,432.875,0,0,0,0,0,0,0,0
hologramImage35,213,118444017,34,0,0,0,0,34,0,30,0,18,1.5151e+07,6.92156e+06,438.792,0,0,0,0,0,0,0,0
hologramImage36,213,118444797,35,0,0,0,0,35,0,30,0,18,1.66736e+07,7.18474e+06,452.459,0,0,0,0,0,0,0,0
hologramImage37,213,118445617,36,0,0,0,0,36,0,30,0,18,1.67028e+07,7.18327e+06,448.189,0,0,0,0,0,0,0,0
hologramImage38,213,118446467,37,0,0,0,0,37,0,30,0,18,1.59117e+07,6.90669e+06,432.557,0,0,0,0,0,0,0,0
hologramImage39,213,118447297,38,0,0,0,0,38,0,30,0,18,1.70184e+07,6.99988e+06,442.63,0,0,0,0,0,0,0,0
hologramImage40,213,118448107,39,0,0,0,0,39,0,30,0,18,1.65848e+07,6.96736e+06,440.096,0,0,0,0,0,0,0,0
hologramImage41,213,118448937,40,0,0,0,0,40,0,30,0,18,1.81001e+07,7.35718e+06,462.241,0,0,0,0,0,0,0,0
hologramImage42,213,118449747,41,0,0,0,0,41,0,30,0,18,1.67686e+07,7.04926e+06,447.542,0,0,0,0,0,0,0,0
hologramImage43,213,118450597,42,0,0,0,0,42,0,30,0,18,1.66505e+07,7.07754e+06,444.565,0,0,0,0,0,0,0,0
hologramImage44,213,118451407,43,0,0,0,0,43,0,30,0,18,1.60926e+07,6.83465e+06,440.636,0,0,0,0,0,0,0,0
hologramImage45,213,118452217,44,0,0,0,0,44,0,30,0,18,1.61431e+07,7.08218e+06,441.967,0,0,0,0,0,0,0,0
hologramImage46,213,118453057,45,0,0,0,0,45,0,30,0,18,1.59581e+07,7.01391e+06,446.232,0,0,0,0,0,0,0,0
hologramImage47,213,118453857,46,0,0,0,0,46,0,30,0,18,1.52295e+07,6.94316e+06,441.034,0,0,0,0,0,0,0,0
hologramImage48,213,118454727,47,0,0,0,0,47,0,30,0,18,1.45389e+07,6.76179e+06,428.031,0,0,0,0,0,0,0,0
hologramImage49,213,118455527,48,0,0,0,0,48,0,30,0,18,1.39631e+07,6.75297e+06,427.145,0,0,0,0,0,0,0,0
hologramImage50,213,118456377,49,0,0,0,0,49,0,30,0,18,1.54495e+07,7.26669e+06,451.72,0,0,0,0,0,0,0,0
hologramImage51,213,118467467,0,1,0,0,0,0,1,30,0,18,1.44569e+07,7.069e+06,445.617,0,0,0,0,0,0,0,0
hologramImage52,213,118468267,1,1,0,0,0,1,1,30,0,18,1.48154e+07,7.21965e+06,452.79,0,0,0,0,0,0,0,0
hologramImage53,213,118468977,2,1,0,0,0,2,1,30,0,18,1.5095e+07,7.31301e+06,453.423,0,0,0,0,0,0,0,0
hologramImage54,213,118469787,3,1,0,0,0,3,1,30,0,18,1.51683e+07,6.83409e+06,440.767,0,0,0,0,0,0,0,0
hologramImage55,213,118470627,4,1,0,0,0,4,1,30,0,18,1.56291e+07,6.71377e+06,431.624,0,0,0,0,0,0,0,0
hologramImage56,213,118471427,5,1,0,0,0,5,1,30,0,18,1.63341e+07,6.85679e+06,435.679,0,0,0,0,0,0,0,0
hologramImage57,213,118472207,6,1,0,0,0,6,1,30,0,18,1.87358e+07,7.08117e+06,446.197,0,0,0,0,0,0,0,0
hologramImage58,213,118473037,7,1,0,0,0,7,1,30,0,18,1.91353e+07,7.0602e+06,443.794,0,0,0,0,0,0,0,0
hologramImage59,213,118473817,8,1,0,0,0,8,1,30,0,18,1.8649e+07,6.78926e+06,436.496,0,0,0,0,0,0,0,0
hologramImage60,213,118474597,9,1,0,0,0,9,1,30,0,18,1.80983e+07,6.92809e+06,435.593,0,0,0,0,0,0,0,0
hologramImage61,213,118475657,10,1,0,0,0,10,1,30,0,18,1.7613e+07,6.94045e+06,444.307,0,0,0,0,0,0,0,0
hologramImage62,213,118476497,11,1,0,0,0,11,1,30,0,18,1.72052e+07,7.18518e+06,442.262,0,0,0,0,0,0,0,0
hologramImage63,213,118477277,12,1,0,0,0,12,1,30,0,18,1.5337e+07,6.72316e+06,426.623,0,0,0,0,0,0,0,0
hologramImage64,213,118478097,13,1,0,0,0,13,1,30,0,18,1.59701e+07,6.82045e+06,437.748,0,0,0,0,0,0,0,0
hologramImage65,213,118478877,14,1,0,0,0,14,1,30,0,18,1.59238e+07,6.95891e+06,438.975,0,0,0,0,0,0,0,0
hologramImage66,213,118479657,15,1,0,0,0,15,1,30,0,18,1.61711e+07,7.06083e+06,444.171,0,0,0,0,0,0,0,0
hologramImage67,213,118480457,16,1,0,0,0,16,1,30,0,18,1.48809e+07,6.74758e+06,428.213,0,0,0,0,0,0,0,0
hologramImage68,213,118481267,17,1,0,0,0,17,1,30,0,18,1.56703e+07,7.16177e+06,445.567,0,0,0,0,0,0,0,0
hologramImage69,213,118482127,18,1,0,0,0,18,1,30,0,18,1.45286e+07,7.24123e+06,462.366,0,0,0,0,0,0,0,0
hologramImage70,213,118482947,19,1,0,0,0,19,1,30,0,18,1.21965e+07,7.03567e+06,443.345,0,0,0,0,0,0,0,0
hologramImage71,213,118483727,20,1,0,0,0,20,1,30,0,18,1.04314e+07,7.0454e+06,450.718,0,0,0,0,0,0,0,0
hologramImage72,213,118484517,21,1,0,0,0,21,1,30,0,18,9.14404e+06,6.88782e+06,443.421,0,0,0,0,0,0,0,0
hologramImage73,213,118485307,22,1,0,0,0,22,1,30,0,18,8.56574e+06,6.97767e+06,435.53,0,0,0,0,0,0,0,0
hologramImage74,213,118486107,23,1,0,0,0,23,1,30,0,18,8.33742e+06,6.96375e+06,446.496,0,0,0,0,0,0,0,0
hologramImage75,213,118486947,24,1,0,0,0,24,1,30,0,18,8.30939e+06,6.9965e+06,441.717,0,0,0,0,0,0,0,0
hologramImage76,213,118487727,25,1,0,0,0,25,1,30,0,18,8.44617e+06,7.11901e+06,448.102,0,0,0,0,0,0,0,0
hologramImage77,213,118488517,26,1,0,0,0,26,1,30,0,18,8.60096e+06,7.06028e+06,446.847,0,0,0,0,0,0,0,0
hologramImage78,213,118489347,27,1,0,0,0,27,1,30,0,18,8.59355e+06,7.01035e+06,448.66,0,0,0,0,0,0,0,0
hologramImage79,213,118490207,28,1,0,0,0,28,1,30,0,18,9.06804e+06,7.15609e+06,451.783,0,0,0,0,0,0,0,0
hologramImage80,213,118491057,29,1,0,0,0,29,1,30,0,18,9.18535e+06,6.87453e+06,435.96,0,0,0,0,0,0,0,0
hologramImage81,213,118491997,30,1,0,0,0,30,1,30,0,18,1.00267e+07,6.86946e+06,435.902,0,0,0,0,0,0,0,0
hologramImage82,213,118492777,31,1,0,0,0,31,1,30,0,18,1.09708e+07,6.9657e+06,447.925,0,0,0,0,0,0,0,0
hologramImage83,213,118493757,32,1,0,0,0,32,1,30,0,18,1.12379e+07,6.89802e+06,433.421,0,0,0,0,0,0,0,0
hologramImage84,213,118494537,33,1,0,0,0,33,1,30,0,18,1.33995e+07,7.05085e+06,444.814,0,0,0,0,0,0,0,0
hologramImage85,213,118495327,34,1,0,0,0,34,1,30,0,18,1.58708e+07,7.05439e+06,451.885,0,0,0,0,0,0,0,0
hologramImage86,213,118496107,35,1,0,0,0,35,1,30,0,18,1.76855e+07,7.33981e+06,457.134,0,0,0,0,0,0,0,0
hologramImage87,213,118496827,36,1,0,0,0,36,1,30,0,18,1.78817e+07,7.17534e+06,450.453,0,0,0,0,0,0,0,0
hologramImage88,213,118497607,37,1,0,0,0,37,1,30,0,18,1.82088e+07,7.11986e+06,454.669,0,0,0,0,0,0,0,0
hologramImage89,213,118498397,38,1,0,0,0,38,1,30,0,18,1.91098e+07,7.09101e+06,442.135,0,0,0,0,0,0,0,0
hologramImage90,213,118499177,39,1,0,0,0,39,1,30,0,18,1.9137e+07,7.06773e+06,442.801,0,0,0,0,0,0,0,0
hologramImage91,213,118499957,40,1,0,0,0,40,1,30,0,18,1.77766e+07,6.87447e+06,440.349,0,0,0,0,0,0,0,0
hologramImage92,213,118500737,41,1,0,0,0,41,1,30,0,18,1.79714e+07,7.26482e+06,449.928,0,0,0,0,0,0,0,0
hologramImage93,213,118501587,42,1,0,0,0,42,1,30,0,18,1.71209e+07,7.01902e+06,445.773,0,0,0,0,0,0,0,0
hologramImage94,213,118502437,43,1,0,0,0,43,1,30,0,18,1.6112e+07,6.80624e+06,435.54,0,0,0,0,0,0,0,0
hologramImage95,213,118503167,44,1,0,0,0,44,1,30,0,18,1.61068e+07,6.92057e+06,435.6,0,0,0,0,0,0,0,0
hologramImage96,213,118503967,45,1,0,0,0,45,1,30,0,18,1.53841e+07,6.81704e+06,429.833,0,0,0,0,0,0,0,0
hologramImage97,213,118504837,46,1,0,0,0,46,1,30,0,18,1.61109e+07,7.02023e+06,444.813,0,0,0,0,0,0,0,0
hologramImage98,213,118505617,47,1,0,0,0,47,1,30,0,18,1.59204e+07,7.15199e+06,443.158,0,0,0,0,0,0,0,0
hologramImage99,213,118506417,48,1,0,0,0,48,1,30,0,18,1.446e+07,6.67558e+06,429.955,0,0,0,0,0,0,0,0
hologramImage100,213,118507227,49,1,0,0,0,49,1,30,0,18,1.54089e+07,7.14422e+06,450.586,0,0,0,0,0,0,0,0
hologramImage101,213,118518347,0,2,0,0,0,0,2,30,0,18,1.50405e+07,7.0347e+06,441.123,0,0,0,0,0,0,0,0
hologramImage102,213,118519157,1,2,0,0,0,1,2,30,0,18,1.47517e+07,6.85572e+06,437.772,0,0,0,0,0,0,0,0
hologramImage103,213,118519937,2,2,0,0,0,2,2,30,0,18,1.52953e+07,7.05642e+06,444.448,0,0,0,0,0,0,0,0
hologramImage104,213,118520757,3,2,0,0,0,3,2,30,0,18,1.63413e+07,6.97742e+06,442.775,0,0,0,0,0,0,0,0
hologramImage105,213,118521577,4,2,0,0,0,4,2,30,0,18,1.75248e+07,7.07514e+06,445.81,0,0,0,0,0,0,0,0
hologramImage106,213,118522397,5,2,0,0,0,5,2,30,0,18,1.79323e+07,6.79426e+06,436.252,0,0,0,0,0,0,0,0
hologramImage107,213,118523107,6,2,0,0,0,6,2,30,0,18,1.99161e+07,7.19405e+06,449.147,0,0,0,0,0,0,0,0
hologramImage108,213,118523837,7,2,0,0,0,7,2,30,0,18,1.98466e+07,6.87276e+06,437.893,0,0,0,0,0,0,0,0
hologramImage109,213,118524677,8,2,0,0,0,8,2,30,0,18,2.08317e+07,7.1401e+06,445.72,0,0,0,0,0,0,0,0
hologramImage110,213,118525477,9,2,0,0,0,9,2,30,0,18,2.03233e+07,7.03548e+06,448.15,0,0,0,0,0,0,0,0
