imageName,cameraID,POSIXTime,i,j,k,ustxX,ustxZ,x,y,z,azimuth,axial,roiFFTEnergy,rouFFTEnergy,imageMean,referenceBeamIntensity,objectBeamIntensity,ch2Mean,ch3Mean,ch0Std,ch1Std,ch2Std,ch3Std
hologramImage1,213,121253372,0,0,0,0,0,0,0,26,0,18,1.39631e+07,6.76943e+06,434.836,0,0,0,0,0,0,0,0
hologramImage2,213,121254222,1,0,0,0,0,1,0,26,0,18,1.399e+07,6.80997e+06,436.552,0,0,0,0,0,0,0,0
hologramImage3,213,121255062,2,0,0,0,0,2,0,26,0,18,1.41506e+07,6.81545e+06,434.523,0,0,0,0,0,0,0,0
hologramImage4,213,121255842,3,0,0,0,0,3,0,26,0,18,1.51613e+07,6.81261e+06,442.217,0,0,0,0,0,0,0,0
hologramImage5,213,121256722,4,0,0,0,0,4,0,26,0,18,1.59372e+07,6.84859e+06,439.052,0,0,0,0,0,0,0,0
hologramImage6,213,121257582,5,0,0,0,0,5,0,26,0,18,1.60549e+07,6.58808e+06,428.782,0,0,0,0,0,0,0,0
hologramImage7,213,121258452,6,0,0,0,0,6,0,26,0,18,1.73669e+07,6.88806e+06,440.151,0,0,0,0,0,0,0,0
hologramImage8,213,121259272,7,0,0,0,0,7,0,26,0,18,1.74162e+07,6.87873e+06,436.687,0,0,0,0,0,0,0,0
hologramImage9,213,121260002,8,0,0,0,0,8,0,26,0,18,1.75496e+07,6.87458e+06,437.679,0,0,0,0,0,0,0,0
hologramImage10,213,121260822,9,0,0,0,0,9,0,26,0,18,1.69005e+07,6.8358e+06,430.572,0,0,0,0,0,0,0,0
hologramImage11,213,121261612,10,0,0,0,0,10,0,26,0,18,1.62948e+07,6.77975e+06,431.851,0,0,0,0,0,0,0,0
hologramImage12,213,121262432,11,0,0,0,0,11,0,26,0,18,1.57741e+07,6.6738e+06,433.281,0,0,0,0,0,0,0,0
hologramImage13,213,121263142,12,0,0,0,0,12,0,26,0,18,1.59608e+07,6.93223e+06,439.08,0,0,0,0,0,0,0,0
hologramImage14,213,121264212,13,0,0,0,0,13,0,26,0,18,1.50566e+07,6.58468e+06,423.766,0,0,0,0,0,0,0,0
hologramImage15,213,121264992,14,0,0,0,0,14,0,26,0,18,1.50833e+07,6.73189e+06,430.32,0,0,0,0,0,0,0,0
hologramImage16,213,121265782,15,0,0,0,0,15,0,26,0,18,1.45567e+07,6.72344e+06,429.329,0,0,0,0,0,0,0,0
hologramImage17,213,121266642,16,0,0,0,0,16,0,26,0,18,1.45352e+07,6.97633e+06,443.794,0,0,0,0,0,0,0,0
hologramImage18,213,121267382,17,0,0,0,0,17,0,26,0,18,1.29157e+07,6.82102e+06,437.48,0,0,0,0,0,0,0,0
hologramImage19,213,121268222,18,0,0,0,0,18,0,26,0,18,1.14701e+07,6.70542e+06,435.444,0,0,0,0,0,0,0,0
hologramImage20,213,121268942,19,0,0,0,0,19,0,26,0,18,1.03975e+07,6.91257e+06,440.894,0,0,0,0,0,0,0,0
hologramImage21,213,121269742,20,0,0,0,0,20,0,26,0,18,9.16042e+06,6.6686e+06,427.253,0,0,0,0,0,0,0,0
hologramImage22,213,121270592,21,0,0,0,0,21,0,26,0,18,9.03496e+06,6.94572e+06,441.154,0,0,0,0,0,0,0,0
hologramImage23,213,121271442,22,0,0,0,0,22,0,26,0,18,8.22083e+06,6.7349e+06,427.96,0,0,0,0,0,0,0,0
hologramImage24,213,121272312,23,0,0,0,0,23,0,26,0,18,8.2841e+06,6.94947e+06,446.215,0,0,0,0,0,0,0,0
hologramImage25,213,121273182,24,0,0,0,0,24,0,26,0,18,8.31455e+06,6.83595e+06,436.682,0,0,0,0,0,0,0,0
hologramImage26,213,121274012,25,0,0,0,0,25,0,26,0,18,8.4346e+06,6.92588e+06,441.138,0,0,0,0,0,0,0,0
hologramImage27,213,121274842,26,0,0,0,0,26,0,26,0,18,8.84733e+06,7.15486e+06,448.507,0,0,0,0,0,0,0,0
hologramImage28,213,121275622,27,0,0,0,0,27,0,26,0,18,8.26686e+06,6.74454e+06,430.741,0,0,0,0,0,0,0,0
hologramImage29,213,121276442,28,0,0,0,0,28,0,26,0,18,8.43932e+06,6.66117e+06,432.573,0,0,0,0,0,0,0,0
hologramImage30,213,121277262,29,0,0,0,0,29,0,26,0,18,8.54906e+06,6.69392e+06,426.363,0,0,0,0,0,0,0,0
